predicted,actual
Carlsen,Capablanca
Nakamura,Morphy
Capablanca,Carlsen
Kasparov,Kasparov
Fischer,Nakamura
Morphy,Fischer
Morphy,Kasparov
Fischer,Capablanca
Morphy,Carlsen
Capablanca,Capablanca
Morphy,Capablanca
Fischer,Kasparov
Carlsen,Carlsen
Morphy,Fischer
Nakamura,Fischer
Carlsen,Capablanca
Morphy,Morphy
Capablanca,Morphy
Morphy,Fischer
Fischer,Morphy
Carlsen,Kasparov
Fischer,Nakamura
Morphy,Carlsen
Nakamura,Fischer
Morphy,Nakamura
Morphy,Nakamura
Fischer,Kasparov
Kasparov,Carlsen
Kasparov,Carlsen
Morphy,Carlsen
Nakamura,Capablanca
Fischer,Kasparov
Fischer,Nakamura
Fischer,Kasparov
Fischer,Fischer
Kasparov,Kasparov
Capablanca,Kasparov
Morphy,Kasparov
Capablanca,Nakamura
Nakamura,Fischer
Capablanca,Morphy
Capablanca,Nakamura
Fischer,Nakamura
Kasparov,Morphy
Morphy,Morphy
Nakamura,Fischer
Fischer,Kasparov
Fischer,Morphy
Fischer,Fischer
Fischer,Morphy
Carlsen,Carlsen
Morphy,Carlsen
Kasparov,Carlsen
Capablanca,Capablanca
Carlsen,Fischer
Nakamura,Nakamura
Morphy,Fischer
Kasparov,Fischer
Nakamura,Fischer
Morphy,Kasparov
Fischer,Carlsen
Capablanca,Kasparov
Fischer,Kasparov
Fischer,Kasparov
Capablanca,Fischer
Fischer,Kasparov
Morphy,Carlsen
Capablanca,Nakamura
Morphy,Morphy
Nakamura,Carlsen
Fischer,Kasparov
Carlsen,Morphy
Capablanca,Fischer
Capablanca,Morphy
Kasparov,Nakamura
Fischer,Capablanca
Kasparov,Carlsen
Fischer,Capablanca
Kasparov,Kasparov
Morphy,Kasparov
Fischer,Kasparov
Morphy,Morphy
Fischer,Capablanca
Fischer,Capablanca
Capablanca,Carlsen
Fischer,Morphy
Nakamura,Kasparov
Capablanca,Capablanca
Fischer,Fischer
Nakamura,Nakamura
Fischer,Nakamura
Fischer,Kasparov
Morphy,Carlsen
Nakamura,Morphy
Morphy,Morphy
